id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-300000000000;fr;AUTH.GREETINGS;Greetings fellow, Honkler!;Salutations, Honkler!;
550e8400-e29b-41d4-a716-300000000001;fr;AUTH.FORGOT_PASSWORD;Forgot password;Mot de passe oublié;
550e8400-e29b-41d4-a716-300000000002;fr;AUTH.LETS_HONK;Let''s Honk!;Klaxonnons!;
550e8400-e29b-41d4-a716-300000000003;fr;AUTH.BECOME_HONKLER;Become a Honkler!;Devenez un Honkler!;
550e8400-e29b-41d4-a716-300000000004;fr;AUTH.BACK_TO_LOGIN;Back to login;Retour à la connexion;
550e8400-e29b-41d4-a716-300000000005;fr;AUTH.LOGIN;Login;Connexion;
550e8400-e29b-41d4-a716-300000000006;fr;AUTH.EMAIL;Email;Email;
550e8400-e29b-41d4-a716-300000000007;fr;AUTH.BROKEN_HONKLER;Broken Honkler;Honkler cassé;
550e8400-e29b-41d4-a716-300000000008;fr;AUTH.COUNTRY;Country;Pays;
550e8400-e29b-41d4-a716-300000000009;fr;AUTH.EMAIL_AGAIN;Email again please;Email à nouveau, s''il vous plaît;
550e8400-e29b-41d4-a716-300000000010;fr;AUTH.PASSWORD;Password;Mot de passe;
550e8400-e29b-41d4-a716-300000000011;fr;AUTH.CONFIRM_PASSWORD;Confirm your password;Confirmez votre mot de passe;
550e8400-e29b-41d4-a716-300000000012;fr;AUTH.FULL_NAME;Full name;Nom complet;
550e8400-e29b-41d4-a716-300000000013;fr;AUTH.TODAYS_DATE;Today''s date;Date d''aujourd''hui;
550e8400-e29b-41d4-a716-300000000014;fr;AUTH.REMEMBER_ME;Remember me;Souviens-toi de moi;
550e8400-e29b-41d4-a716-300000000015;fr;AUTH.RESET_HONK;Reset honk;Réinitialiser le klaxon;
550e8400-e29b-41d4-a716-300000000016;fr;AUTH.RESET_YOUR_HONK;Reset your Honk!;Réinitialisez votre klaxon!;
550e8400-e29b-41d4-a716-300000000017;fr;PAGE_NOT_FOUND.PAGE_NOT_FOUND;Oops! Page not found.;Oups! Page non trouvée.;
550e8400-e29b-41d4-a716-300000000018;fr;PAGE_NOT_FOUND.PAGE_UNAVAILABLE;Sorry, the page you are looking for might have been removed or is temporarily unavailable.;Désolé, la page que vous recherchez a peut-être été supprimée ou est temporairement indisponible.;
550e8400-e29b-41d4-a716-300000000019;fr;AUTH.NEW_PASSWORD;New password;Nouveau mot de passe;
550e8400-e29b-41d4-a716-300000000020;fr;AUTH.NO_COMPLAINTS;I have no complaints about the site and will not have in the future;Je n''ai aucune plainte concernant le site et je n''en aurai pas à l''avenir;
550e8400-e29b-41d4-a716-300000000021;fr;SELECT.NO_OPTIONS;No options;Aucune option;
550e8400-e29b-41d4-a716-300000000022;fr;SELECT.SELECT_OPTION;Select an option;Sélectionnez une option;
550e8400-e29b-41d4-a716-300000000023;fr;PAGINATOR.SELECT_PAGE;Select page.;Sélectionnez la page.;
550e8400-e29b-41d4-a716-300000000024;fr;FOOTER.HONKING_SINCE;We have been honking since 2024.;Nous klaxonnons depuis 2024.;
550e8400-e29b-41d4-a716-300000000025;fr;USER.MENU.NOTIFICATIONS;Notifications;Notifications;
550e8400-e29b-41d4-a716-300000000026;fr;USER.MENU.SETTINGS;Settings;Paramètres;
550e8400-e29b-41d4-a716-300000000027;fr;USER.MENU.LOGOUT;Logout;Déconnexion;
550e8400-e29b-41d4-a716-300000000028;fr;COMMON.STATUS;Status;Statut;
550e8400-e29b-41d4-a716-300000000029;fr;COMMON.SCORE;Score;Score;
550e8400-e29b-41d4-a716-300000000030;fr;COMMON.LOCATION;Location;Emplacement;
550e8400-e29b-41d4-a716-300000000031;fr;COMMON.FILTER.SEARCH;Search;Rechercher;
550e8400-e29b-41d4-a716-300000000032;fr;COMMON.ID;ID;ID;
550e8400-e29b-41d4-a716-300000000033;fr;COMMON.CREATED;Created;Créé;
550e8400-e29b-41d4-a716-300000000034;fr;COMMON.UPDATED;Updated;Mis à jour;
550e8400-e29b-41d4-a716-300000000035;fr;COMMON.NAME;Name;Nom;
550e8400-e29b-41d4-a716-300000000036;fr;COMMON.EMAIL;Email;Email;
